id, card, sets, market_price, price_fluctuate, image, format 
1, Fulminator Mage, Shadowmoor, 37.99, +11.01 
2, Tarmogoyf, Future Sight, 138.44, +4.98 
3, Chalice of the Void, Mirrodin, 72.54, +4.34 
4, Sliver Legion, Future Sight, 42.99, +3.00 
5, Retract, Darksteel, 13.49, +2.95 
6, Liliana of the Veil, Innistrad, 78.34, +2.90 
7, Goblin Guide, Zendikar, 23.99, +2.66 
8, Linvala_Keeper of Silence, Rise of the Eldrazi, 36.32, +2.08 
9, Cryptic Command, Lorwyn, 28.04, +2.00 
10, Raging Ravine, Worldwake, 16.99, +2.00 
11, Griselbrand, Avacyn Restored, 14.67, +1.89 
12, Gisela_Blade of Goldnight, Avacyn Restored, 7.53, +1.78 
13, Engineered Explosives, Fifth Dawn, 59.9, +1.69 
14, Jace_the Mind Sculptor, Worldwake, 74.99, +1.62 
15, Wastes (3), Oath of the Gatewatch, 1.5, +1.50 
16, Scrying Sheets, Coldsnap, 15.99, +1.46 
17, Steel Overseer, M11, 13.99, +1.40 
18, Tolaria West, Future Sight, 4.32, +1.33 
19, Kiki-Jiki_Mirror Breaker, Champions of Kamigawa, 14.91, +1.30 
20, Scapeshift, Morningtide, 40.74, +1.25 
21, Sensei's Divining Top, Champions of Kamigawa, 18.99, +1.25 
22, Sword of the Meek, Future Sight, 10.65, +1.16 
23, AEther Vial, Darksteel, 41.06, +1.02 
24, Hide // Seek, Dissension, 3.99, +1.01 
25, Mistbind Clique, Lorwyn, 12.99, +1.00 
26, Runed Halo, Shadowmoor, 16.99, +1.00 
27, Simian Spirit Guide, Planar Chaos, 8.49, +1.00 
28, Creeping Tar Pit, Worldwake, 20.69, +.94 
29, Tidespout Tyrant, Dissension, 10.24, +.94 
30, Kolaghan's Command, Dragons of Tarkir, 12.59, +.90 
31, Sliver Hivelord, M15, 10.88, +.89 
32, Hallowed Fountain, Dissension, 17.42, +.86 
33, Scavenging Ooze, M14, 4.62, +.84 
34, Crucible of Worlds, 10th Edition, 63.23, +.83 
35, Painful Quandary, Scars of Mirrodin, 4.39, +.80 
36, Worship, 9th Edition, 8.49, +.80 
37, Mutavault, Morningtide, 16.17, +.79 
38, Pact of Negation, Future Sight, 32.34, +.78 
39, Atarka's Command, Dragons of Tarkir, 9.09, +.73 
40, Rhys the Exiled, Morningtide, 2.86, +.72 
41, Kruin Outlaw, Innistrad, 2.15, +.71 
42, Seedborn Muse, 9th Edition, 23.07, +.71 
43, Bitterblossom, Morningtide, 31.09, +.70 
44, Countersquall, Conflux, 6.64, +.70 
45, Knight of the Reliquary, Conflux, 9.04, +.70 
46, Aven Mindcensor, Future Sight, 7.5, +.69 
47, Garruk_Apex Predator, M15, 15.75, +.69 
48, War's Toll, Dissension, 4.99, +.68 
49, Painter's Servant, Shadowmoor, 12.81, +.67 
50, Purphoros_God of the Forge, Theros, 10.89, +.66 
