id, card, sets, market_price, price_fluctuate, image 
1, Wastes (3), Oath of the Gatewatch, 1.5, +1.50 
2, Traverse the Ulvenwald, Shadows over Innistrad, 4.31, +.32 
3, Thing in the Ice, Shadows over Innistrad, 6.05, +.31 
4, Westvale Abbey, Shadows over Innistrad, 4.44, +.29 
5, Release the Gremlins, Aether Revolt, 0.84, +.26 
6, Relentless Dead, Shadows over Innistrad, 4.22, +.23 
7, Glint-Sleeve Siphoner, Aether Revolt, 2.04, +.19 
8, Lightning Axe, Shadows over Innistrad, 1.53, +.18 
9, Sigarda's Aid, Eldritch Moon, 1.18, +.18 
10, Gideon_Ally of Zendikar, Battle for Zendikar, 26.31, +.16 
11, Oath of Nissa, Oath of the Gatewatch, 3.81, +.16 
12, Paradox Engine, Aether Revolt, 9.88, +.15 
13, Heart of Kiran, Aether Revolt, 22.75, +.14 
14, Omnath_Locus of Rage, Battle for Zendikar, 1.63, +.12 
15, Panharmonicon, Kaladesh, 3.78, +.11 
16, Sphinx of the Final Word, Oath of the Gatewatch, 1.56, +.11 
17, Thought-Knot Seer, Oath of the Gatewatch, 7.13, +.10 
18, Goldnight Castigator, Shadows over Innistrad, 0.92, +.09 
19, Heir of Falkenrath, Shadows over Innistrad, 0.52, +.09 
20, Kozilek's Return, Oath of the Gatewatch, 7.43, +.09 
21, Lambholt Pacifist, Shadows over Innistrad, 0.47, +.08 
22, Renegade Firebrand, Kaladesh, 0.33, +.08 
23, Oblivion Sower, Battle for Zendikar, 1.37, +.07 
24, Bruna_the Fading Light, Eldritch Moon, 1.16, +.07 
25, Gonti's Aether Heart, Aether Revolt, 1.24, +.06 
26, Hanweir Militia Captain, Shadows over Innistrad, 0.74, +.06 
27, Botanical Sanctum, Kaladesh, 4.17, +.05 
28, Geralf's Masterpiece, Shadows over Innistrad, 0.8, +.05 
29, Kiora_Master of the Depths, Battle for Zendikar, 2.98, +.05 
30, The Gitrog Monster, Shadows over Innistrad, 1.14, +.05 
31, Furyblade Vampire, Eldritch Moon, 0.28, +.04 
32, Servo Schematic, Aether Revolt, 0.28, +.04 
33, Olivia_Mobilized for War, Shadows over Innistrad, 2.2, +.04 
34, Servant of the Conduit, Kaladesh, 0.65, +.04 
35, Dynavolt Tower, Kaladesh, 1.08, +.03 
36, Hanweir Garrison, Eldritch Moon, 1.44, +.03 
37, Brain in a Jar, Shadows over Innistrad, 0.54, +.03 
38, Fiery Temper, Shadows over Innistrad, 0.3, +.03 
39, Minister of Inquiries, Kaladesh, 0.3, +.03 
40, Ornithopter, Aether Revolt, 0.35, +.03 
41, Stone Haven Outfitter, Oath of the Gatewatch, 0.45, +.03 
42, Pia Nalaar, Kaladesh, 0.53, +.03 
43, Sigarda_Heron's Grace, Shadows over Innistrad, 1.67, +.03 
44, From Beyond, Battle for Zendikar, 0.67, +.02 
45, Blighted Fen, Battle for Zendikar, 0.27, +.02 
46, Desolation Twin, Battle for Zendikar, 0.4, +.02 
47, Essence Flux, Shadows over Innistrad, 0.37, +.02 
48, Paranoid Parish-Blade, Shadows over Innistrad, 0.2, +.02 
49, Slip Through Space, Oath of the Gatewatch, 0.26, +.02 
50, Decimator of the Provinces, Eldritch Moon, 1.63, +.02 
